LOCATION,VARIABLE,FREQUENCY,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
AUS,NAIRU,A,P1Y,PC,0,1985,7.5787631575
AUS,NAIRU,A,P1Y,PC,0,1986,7.620164364
AUS,NAIRU,A,P1Y,PC,0,1987,7.571700684
AUS,NAIRU,A,P1Y,PC,0,1988,7.521156671
AUS,NAIRU,A,P1Y,PC,0,1989,7.4716163505
AUS,NAIRU,A,P1Y,PC,0,1990,7.5673634258
AUS,NAIRU,A,P1Y,PC,0,1991,7.9112436685
AUS,NAIRU,A,P1Y,PC,0,1992,8.2279709625
AUS,NAIRU,A,P1Y,PC,0,1993,8.377387341
AUS,NAIRU,A,P1Y,PC,0,1994,8.2736095433
AUS,NAIRU,A,P1Y,PC,0,1995,7.9865212902
AUS,NAIRU,A,P1Y,PC,0,1996,7.6915802568
AUS,NAIRU,A,P1Y,PC,0,1997,7.465550847
AUS,NAIRU,A,P1Y,PC,0,1998,7.0405580923
AUS,NAIRU,A,P1Y,PC,0,1999,6.5700777755
AUS,NAIRU,A,P1Y,PC,0,2000,6.358007646
AUS,NAIRU,A,P1Y,PC,0,2001,6.497105702
AUS,NAIRU,A,P1Y,PC,0,2002,6.2777608137
AUS,NAIRU,A,P1Y,PC,0,2003,5.8960613335
AUS,NAIRU,A,P1Y,PC,0,2004,5.482511982
AUS,NAIRU,A,P1Y,PC,0,2005,5.254363807
AUS,NAIRU,A,P1Y,PC,0,2006,5.114368516
AUS,NAIRU,A,P1Y,PC,0,2007,4.9511061923
AUS,NAIRU,A,P1Y,PC,0,2008,4.954316521
AUS,NAIRU,A,P1Y,PC,0,2009,5.3131376453
AUS,NAIRU,A,P1Y,PC,0,2010,5.2563213412
AUS,NAIRU,A,P1Y,PC,0,2011,5.1792008797
AUS,NAIRU,A,P1Y,PC,0,2012,5.2448891722
AUS,NAIRU,A,P1Y,PC,0,2013,5.473799076
AUS,NAIRU,A,P1Y,PC,0,2014,5.6219463925
AUS,NAIRU,A,P1Y,PC,0,2015,5.5659823602
AUS,NAIRU,A,P1Y,PC,0,2016,5.3795911475
AUS,NAIRU,A,P1Y,PC,0,2017,5.3401787265
AUS,NAIRU,A,P1Y,PC,0,2018,5.3125900318
AUS,NAIRU,A,P1Y,PC,0,2019,5.2932779455
AUS,NAIRU,A,P1Y,PC,0,2020,5.2797594851
